Family,Group,English Name,Scientific Name,IUCN Category
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Flying snake,Ceylon flying snake,Chrysopelea taprobanica,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Trinket snake,Common trinket snake,Coelognathus helena,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Rat snake,Green snake,Cyclophiops doriae,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bronzeback tree snakes,Andaman bronzeback,Dendrelaphis andamanensis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bronzeback tree snakes,Western Ghats bronzeback,Dendrelaphis chairecaeos,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bronzeback tree snakes,Nicobar bronzeback,Dendrelaphis humayuni,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bronzeback tree snakes,Painted bronzeback,Dendrelaphis pictus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bronzeback tree snakes,Common bronzeback,Dendrelaphis tristis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bridal snake,Bridal snake,Dryocalamus nympha,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Trinket snake,Khasi hills trinket snake,Elaphe frenata,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Stripe-necked snake,Nicobar stripe-necked snake,Gongylosoma nicobariense,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Stripe-necked snake,Theobald's stripe- necked snake,Gongylosoma scriptum,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Stripe-necked snake,Lesser stripe- necked snake,Liopeltis calamaria,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Stripe-necked snake,Himalayan stripe-necked snake,Liopeltis rappii,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Stripe-necked snake,Stoliczka's stripe-necked snake,Liopeltis stoliczkae,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Common wolf snake,Lycodon aulicus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Banded wolf snake,Lycodon fasciatus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Yellow-collared wolf snake,Lycodon flavicollis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Sikkim false wolf snake,Lycodon gammiei,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Andaman wolf snake,Lycodon hypsirhinoides,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Mackinnon's wolf snake,Lycodon mackinnoni,Not Evaluated
