Family,Group,English Name,Scientific Name,IUCN Category
Platanistidae (River Dolphins),River Dolphins,Ganges River Dolphin,Platanista gangetica gangetica,Endangered
"Bovidae (Cattle, Antelope, Sheep, Goat)",Gaur,Gaur,Bos gaurus,Endangered
Molossidae (Free-Tailed Bats),Free-Tailed Bats,Giant Mastiff Bat,Otomops wroughtoni,Least Concern
Soricidae (Shrews),Shrews,Giant Mole Shrew,Anourosorex schmidi,Endangered
Ziphiidae (Beaked Whales),Whales,Ginkgo-toothed Beaked Whale,Mesoplodon ginkgodens,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Gobi Big Brown,Eptesicus gobiensis,Least Concern
"Canidae (Dogs, Wolves, Jackals, Foxes)",Jackal ,Golden Jackal,Canis aureus,Least Concern
Cercopithecidae (Old World Monkeys),Langur,Golden langur,Trachypithecus geei,Endangered
Cricetidae (New World Rodents),New World Rodents,Gray Dwarf Hamster,Cricetulus migratorius,Least Concern
Lorisidae (Lorises),Lorises,Gray Slender Loris,Loris lydekkerianus,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Great Evening Bat,Ia io,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Great Leaf-nosed Bat,Hipposideros armiger,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Greater Asiatic Yellow bat,Scotophilus heathii,Vulnerable
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Greater Bamboo Bat,Tylonycteris robustula,Vulnerable
Cricetidae (New World Rodents),Rats,Greater Bandicoot Rat,Bandicota indica,Endangered
Megadermatidae (False-Vampire Bats),False-Vampire Bats,Greater False Vampire,Megaderma lyra,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Greater Hairy-winged Bat,Harpiocephalus mordax,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Greater Horseshoe Bat,Rhinolophus ferrumequinum,Near Threatened
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Greater Long-nosed Fruit,Macroglossus sobrinus,Least Concern
Rhinopomatidae (Mouse-Tailed Bats),Mouse-Tailed Bats,Greater Mouse-tailed Bat,Rhinopoma microphyllum,Near Threatened
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Greater Short-nosed Fruit,Cynopterus sphinx,Least Concern
Vespertilionidae (Vesper Bats),Tube-nosed bat (vesper bats),Greater Tube-nosed Bat,Murina leucogaster,Least Concern
Herpestidae (Mongooses),Mongooses,Grey Mongoose,Herpestes edwardsii,Least Concern
"Canidae (Dogs, Wolves, Jackals, Foxes)",Wolf,Grey Wolf,Canis lupus,Least Concern
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Hairy-faced Myotis,Myotis annectans,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Hardwicke's Woolly Bat,Kerivoula hardwickii,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Harlequin Bat,Scotomanes ornatus,Near Threatened
Cricetidae (New World Rodents),Mouse,Harvest Mouse,Micromys minutus,Least Concern
Cricetidae (New World Rodents),Mouse,Himalayan Field mouse,Apodemus pallipes,Endangered
"Bovidae (Cattle, Antelope, Sheep, Goat)",Goat-antelope,Himalayan goral,Naemorhedus goral,Near Threatened
Sciuridae (Squirrels),Squirrels,Himalayan Marmot,Marmota himalayana,Least Concern
Talpidae (Moles),Moles,Himalayan Mole,Euroscaptor micrura,Least Concern
Moschidae (Musk Deer),Musk Deer,Himalayan Musk Deer,Moschus leucogaster,Endangered
Cricetidae (New World Rodents),Niviventer,Himalayan Niviventer,Niviventer niviventer,Least Concern
